Depth,Prop_bleach,Rel_Prop_bleach,Reef
2,0.61845,1,Reef_1
7,0.32132,0.5195569569084,Reef_1
12,0.21293,0.344296224432048,Reef_1
17,0.16192,0.261815829897324,Reef_1
22,0.13004,0.210267604495109,Reef_1
27,0.10836,0.175212224108659,Reef_1
2,0.29709,1,Reef_2
7,0.10708,0.360429499478273,Reef_2
12,0.06628,0.223097377898953,Reef_2
17,0.04842,0.162980914874281,Reef_2
22,0.03822,0.128647884479451,Reef_2
27,0.0293,0.098623312800835,Reef_2
